序号,指标类型1/2/3/4/5,点描述 ,点名,实际值,期望值,D//-D,上上限H,下下限L,触发标签,坏点时间,备用1,备用2,备用3
144,1,供热抽汽流量1,N3DCS.3NAAEXFT03AI,,"modV1('VHEATET3A',CDATA['N1DCS.HEATNETTO1DCS030'],CDATA['N3DCS.3NAAEXPT03AI']+0.1,iapws97._PSat_T(CDATA['N1DCS.HEATNETTO1DCS061']+273.15),CDATA['N3DCS.3NAAEXTE01AI'],CDATA['N3DCS.3NAAEXFT03AI'],1.75)[0]",30,200,CDATA['N3DCS.3NAACVOD01DI']*1-1,,,,,1
145,1,供热抽汽流量2,N3DCS.3NAAEXFT02AI,,"modV1('VHEATET3B',CDATA['N1DCS.HEATNETTO1DCS038'],CDATA['N3DCS.3NAAEXPT03AI']+0.1,iapws97._PSat_T(CDATA['N1DCS.HEATNETTO1DCS062']+273.15),CDATA['N3DCS.3NAAEXTE01AI'],CDATA['N3DCS.3NAAEXFT02AI'],1.75)[0]",40,200,CDATA['N3DCS.3NAACVOD01DI']*1-1,,,,,1
146,1,供热快开阀开度,N3DCS.3NAAFVPZ01AI,,CDATA['N3DCS.3NAAFVCC01AO'],15,101,8,,,,,1
147,1,压力匹配器调阀CV8404反馈,N3DCS.3ZTFS404AI,,CDATA['N3DCS.3PYFS404AO'],10,103,-1,,,,,1
148,1,工业抽汽温度,N3DCS.3TEFS403AI,,CDATA['N3DCS.3TEFS403SP'],25//50,375,300,CDATA['N3DCS.3ZCFS405DI'],,运行参数,,1
149,3,工业抽汽流量,N3DCS.3FTFS401AI,,VCV8404[5]/1000,10,70,-1,,,运行参数,,1
150,1,工业抽汽压力,N3DCS.3PTFS402AI,,CDATA['N3DCS.3PTFS404SP'],0.15,1.3,0.75,CDATA['N3DCS.3ZCFS405DI'],,,,1
151,1//3//4,温度调阀CV8403反馈,N3DCS.3ZTFS403AI,,CDATA['N3DCS.3ZTFS403AI'],10,103,-2,,,,,1
152,1,供热快开阀液压油加卸载频率,N3DCS.3NAAFVHZ,"Frequency('N3DCS.3NAAFVPT01AI',3600)",,,14+10000*(1-CDATA['N3DCS.3NAACVOD01DI']),-1,,,,,1
153,1,供热抽汽疏水温度,N3DCS.3EDRN001AI,,,,290,190,CDATA['N3DCS.3BM04614'],,,,
154,,#3机热再供汽温度调节阀开度,N3DCS.3ZTFS401AI,,CDATA['N3DCS.3PYFS401AO'],5,100,-5,CDATA['N3DCS.3ZCFS405DI'],,,,
155,1,8段抽汽流量,N3DCS.8STEAMEXT,steamflow8,STEAMEXT8_FLOW,25,"min(STEAMEXT8_FLOW+25,120)","max(STEAMEXT8_FLOW-25,5)",CDATA['N3DCS.3BM04614'],,,,1
156,1,7段抽汽流量,N3DCS.7STEAMEXT,steamflow7,STEAMEXT7_FLOW,30//20,"min(STEAMEXT7_FLOW+20,100)","max(STEAMEXT7_FLOW-20,5)",CDATA['N3DCS.3BM04614'],,,,1
157,1,6段抽汽流量,N3DCS.6STEAMEXT,steamflow6,STEAMEXT6_FLOW,15,"min(STEAMEXT6_FLOW+15,80)","max(STEAMEXT6_FLOW-15,5)",CDATA['N3DCS.3BM04614'],,,,1
158,1,五段抽汽至除氧器流量,N3DCS.5STEAMTODEAF,0 if CDATA['N3DCS.3ZTES022AI']>10 else steamtoDEAflow,,,100,-100,CDATA['N3DCS.3ZCES027DI'],,,,1
159,1,#4抽汽流量,N3DCS.4STEAMEXT,steamflow4,,,100,-100,CDATA['N3DCS.3BM04614'],,,,1
160,1,#3抽汽流量,N3DCS.3STEAMEXT,steamflow3,,,100,-100,CDATA['N3DCS.3BM04614'],,,,1
161,1,#2抽汽流量,N3DCS.2STEAMEXT,steamflow2,,,100,-100,CDATA['N3DCS.3BM04614'],,,,1
162,1,#1抽汽流量,N3DCS.1STEAMEXT,steamflow1,,,100,-100,CDATA['N3DCS.3BM04614'],,,,1
163,1,再热蒸汽流量,N3DCS.REHSTEAMFLOW,REHSTEAMFLOW,,,950,100,CDATA['N3DCS.3BM04614'],,,,1
164,1,中压缸排汽流量,N3DCS.3STEAMIPEXH,"Flugel(841,(CDATA['N3DCS.3PTES236AI']*1000+101)/0.835,CDATA['N3DCS.OPX']+80,2183,1020,343.1,CDATA['N3DCS.3IPEXT1'])",,,850,0,CDATA['N3DCS.3BM04614'],,,,1
165,1,低压缸进汽流量,N3DCS.LPSTEAMFLOW,LPsteamFLOW,,,800,0,CDATA['N3DCS.3BM04614'],,,,1
166,1,低压缸排汽流量,N3DCS.LPOUTSTEAMFLOW,LPoutsteamFLOW,,,700,-50,CDATA['N3DCS.3BM04614'],,,,1
167,1,#8加热器抽汽入口压力,N3DCS.3PTES207AI,,yc('N3DCS.3PTES207AI'),0.2//0.35,6.5,2,CDATA['N3DCS.3BM04614'],,,,1
168,1,#7加热器抽汽入口压力,N3DCS.3PTES226AI,,yc('N3DCS.3PTES226AI'),0.3,3.8,0.7,CDATA['N3DCS.3BM04614'],,,,1
169,1,#6加热器抽汽入口压力,N3DCS.3PTES236AI,,yc('N3DCS.3PTES236AI'),0.2,2.2,0.25,CDATA['N3DCS.3BM04614'],,,,1
170,1,#4低加抽汽入口压力,N3DCS.3PTES302AI,,yc('N3DCS.3PTES302AI'),40,450,0,CDATA['N3DCS.3BM04614'],,,,1
171,1,#3低加抽汽入口压力,N3DCS.3PTES308AI,,yc('N3DCS.3PTES308AI'),30//20,155,-5,CDATA['N3DCS.3BM04614'],,,,1
172,1,#2低加抽汽入口压力,N3DCS.3PTES284AI,,yc('N3DCS.3PTES284AI'),15//25,15,-60,CDATA['N3DCS.3BM04614'],,,,1
173,1,#1加热器压力,N3DCS.3PTES286AI,,yc('N3DCS.3PTES286AI'),20,-20,-97,CDATA['N3DCS.3BM04614'],,,,1
174,1,#8加热器抽汽入口温度,N3DCS.3TEES205AI,,yc('N3DCS.3TEES205AI'),15,425,330,CDATA['N3DCS.3BM04614'],,,,1
175,1,#8加热器抽汽温度,N3DCS.3TEES202AI,,yc('N3DCS.3TEES202AI'),20,435,355,CDATA['N3DCS.3BM04614'],,,,1
176,1,#7加热器抽汽入口温度,N3DCS.3TEES227AI,,yc('N3DCS.3TEES227AI'),25,370,265,CDATA['N3DCS.3BM04614'],,,,1
177,1,#7加热器抽汽温度,N3DCS.3TEES233AI,,yc('N3DCS.3TEES233AI'),25,375,265,CDATA['N3DCS.3BM04614'],,,,1
178,1,#6加热器抽汽入口温度,N3DCS.3TEES234AI,,yc('N3DCS.3TEES234AI')-10,20,480,400,CDATA['N3DCS.3BM04614'],,,,1
179,1,#6加热器抽汽温度,N3DCS.3TEES213AI,,yc('N3DCS.3TEES213AI'),30,490,430,CDATA['N3DCS.3BM04614'],,,,1
180,1,#4加热器抽汽入口温度,N3DCS.3TEES304AI,,CDATA['N3DCS.3TEES291AI']-15,20,315,200,CDATA['N3DCS.3BM04614'],,,,1
181,1,#4加热器抽汽温度,N3DCS.3TEES291AI,,"max(yc('N3DCS.3TEES291AI'),CDATA['N3DCS.3TEES304AI'])",15,315,235,CDATA['N3DCS.3BM04614'],,,,1
182,1,#1加热器抽汽温度1,N3DCS.3TEES282AI,,yc('N3DCS.3TEES282AI'),10,70,20,CDATA['N3DCS.3BM04614'],,,,1
183,1,#1加热器抽汽温度2,N3DCS.3TEES283AI,,yc('N3DCS.3TEES283AI'),15,70,20,CDATA['N3DCS.3BM04614'],,,,1
184,1,轴封压力1,N3DCS.3GSH1,,CDATA['N3DCS.3GSHPST3'],"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,5,200,7,300,7,400,10,560,15,750,20,1060,20,1160,21])",CDATA['N3DCS.3GSHPST2']+10,12,CDATA['N3DCS.3ZODT001DI']==1,,运行参数,,1
185,1,轴封压力2,N3DCS.3GSH2,,CDATA['N3DCS.3GSHPST3'],"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,5,200,7,300,7,400,10,560,15,750,20,1060,20,1160,21])",CDATA['N3DCS.3GSHPST2']+10,12,CDATA['N3DCS.3ZODT001DI']==1,,,,1
186,1,低压轴封温度,N3DCS.3LPGST,,"CDATA['N3DCS.3CCSGSLTSP'] if CDATA['N3DCS.3ZODT001DI']==0 else min(CDATA['N3DCS.3LPGST'],150)",30,177,121 if CDATA['N3DCS.3ZODT001DI']==0 else 0,,,运行参数,,1
187,1,低压轴封温度1,N3DCS.3LPGSTQ,,"CDATA['N3DCS.3CCSGSLTSP'] if CDATA['N3DCS.3ZODT001DI']==0 else min(CDATA['N3DCS.3LPGST'],150)",30,177,121 if CDATA['N3DCS.3ZODT001DI']==0 else 0,,,,,1
188,1,高压轴封温度,N3DCS.3HPGST,,"yc('N3DCS.3HPGST') if CDATA['N3DCS.3ZODT001DI']==0 else min(CDATA['N3DCS.3LPGST'],380)",40,400,121 if CDATA['N3DCS.3ZODT001DI']==0 else 0,CDATA['N3DCS.3BM04614'],,,,1
189,1,A轴加排汽机,N3DCS.3ZAGS01CADI,,,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-100,0,430,0,431,1,1500,1])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-100,0,570,0,571,1,1500,1])",CDATA['N3DCS.3ZODT001DI']==1,,,,1
190,1,B轴加排汽机,N3DCS.3ZAGS01CBDI,,,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-100,1,570,1,571,0,1500,0])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-100,1,430,1,431,0,1500,0])",CDATA['N3DCS.3ZODT001DI']==1,,,,1
191,1,轴封压力调门开度,N3DCS.3GSCRCV,,CDATA['N3DCS.3GSCRCV'],5,75,-5,,,,,1
192,1,轴封泄压阀压力设定值,N3DCS.3GSHPST2,,CDATA['N3DCS.3GSHPST2'],5,60,20,,,,,1
193,1,低压轴封减温水开度,N3DCS.3GSDLPCV,,CDATA['N3DCS.3GSDLPCV'],50,"max(CDATA['N3DCS.3LPGST']-CDATA['N3DCS.3CCSGSLTSP']+3,0)*10+50",0,,,,,1
194,1,高压轴封减温水开度,N3DCS.3GSDHPCV,,CDATA['N3DCS.3GSDHPCV'],5,10,0,,,,,1
195,1,#6高加水位,N3DCS.3LTHD102AI,,CDATA['N3DCS.3CCSHPH6SP'],50,100,-175,CDATA['N3DCS.3ZCES007DI'],,,,1
196,1,#7高加水位,N3DCS.3LTHD119AI,,CDATA['N3DCS.3CCSHPH7SP'],50,-50,-175,CDATA['N3DCS.3ZCES034DI'],,,,1
197,1,#8高加水位,N3DCS.3LTHD114AI,,CDATA['N3DCS.3CCSHPH8SP'],50,-50,-175,CDATA['N3DCS.3ZCES008DI'],,,,1
198,1,6号高加正常疏水阀开度,N3DCS.3ZTHD008AI,,yc('N3DCS.3ZTHD008AI')-5,10,CDATA['N3DCS.3LYHD008AO']+10,CDATA['N3DCS.3LYHD008AO']-10,CDATA['N3DCS.3ZCES007DI'],,运行参数,,1
199,1,7号高加正常疏水阀开度,N3DCS.3ZTHD005AI,,yc('N3DCS.3ZTHD005AI')+5,10,CDATA['N3DCS.3LYHD005AO']+5,CDATA['N3DCS.3LYHD005AO']-5,CDATA['N3DCS.3ZCES034DI'],,运行参数,,1
200,1,8号高加正常疏水阀开度,N3DCS.3ZTHD002AI,,yc('N3DCS.3ZTHD002AI')-4,"max(yc('N3DCS.3ZTHD002AI')-CDATA['N3DCS.3ZTHD002AI'],0)+10",CDATA['N3DCS.3LYHD002AO']+5,CDATA['N3DCS.3LYHD002AO']-5,CDATA['N3DCS.3ZCES008DI'],,运行参数,,1
201,1,#6高加入口温度,N3DCS.3TEFW059AI,,yc('N3DCS.3TEFW059AI'),10,186,115,CDATA['N3DCS.3ZCES007DI'],,,,1
202,1,#6高加出口温度,N3DCS.3TEFW062AI,,yc('N3DCS.3TEFW062AI'),10,215,115,CDATA['N3DCS.3ZCES007DI'],,,,1
203,1,#7高加出口温度,N3DCS.3TEFW064AI,,yc('N3DCS.3TEFW064AI'),10,252,115,CDATA['N3DCS.3ZCES034DI'],,,,1
204,1,#8高加出口温度,N3DCS.3TEFW066AI,,yc('N3DCS.3TEFW066AI'),15,290,115,CDATA['N3DCS.3ZCES008DI'],,,,1
205,4,6号高加疏水温度,N3DCS.3TEHD107AI,,yc('N3DCS.3TEHD107AI'),20,190,115,CDATA['N3DCS.3ZCES007DI'],,,,1
206,4,7号高加疏水温度,N3DCS.3TEHD120AI,,yc('N3DCS.3TEHD120AI'),20,225,115,CDATA['N3DCS.3ZCES034DI'],,,,1
207,4,8号高加疏水温度,N3DCS.3TEHD112AI,,yc('N3DCS.3TEHD112AI')+10,25,260,115,CDATA['N3DCS.3ZCES008DI'],,,,1
208,1,6号高加下端差,N3DCS.6HEATERLOWERENDDIF,CDATA['N3DCS.3TEHD107AI'] - CDATA['N3DCS.3TEFW059AI'],,,15,0,CDATA['N3DCS.3ZCES007DI'],,,,1
209,1,7号高加下端差,N3DCS.7HEATERLOWERENDDIF,CDATA['N3DCS.3TEHD120AI'] - CDATA['N3DCS.3TEFW062AI'],,,15,0,CDATA['N3DCS.3ZCES034DI'],,,,1
210,1,8号高加下端差,N3DCS.8HEATERLOWERENDDIF,CDATA['N3DCS.3TEHD112AI'] - CDATA['N3DCS.3TEFW064AI'],,,15,0,CDATA['N3DCS.3ZCES008DI'],,,,1
211,1,6号高加上端差,N3DCS.6HEATERUPENDDIF,"iapws97._TSat_P(min(max(float(CDATA['N3DCS.3PTES236AI']),0.1),2.1))-273.15 - float(CDATA['N3DCS.3TEFW062AI'])",,,10,-25,CDATA['N3DCS.3ZCES007DI'],,,,1
212,1,7号高加上端差,N3DCS.7HEATERUPENDDIF,"iapws97._TSat_P(min(max(float(CDATA['N3DCS.3PTES226AI']),0.1),4.5))-273.15 - float(CDATA['N3DCS.3TEFW064AI'])",,,10,-25,CDATA['N3DCS.3ZCES034DI'],,,,1
213,1,8号高加上端差,N3DCS.8HEATERUPENDDIF,"iapws97._TSat_P(min(max(float(CDATA['N3DCS.3PTES207AI']),0.1),8.6))-273.15 - float(CDATA['N3DCS.3TEFW066AI'])",,,25,-25,CDATA['N3DCS.3ZCES008DI'],,,,1
214,1,#4低加水位,N3DCS.3LTHD134AI,,CDATA['N3DCS.3CCSLPH4SP'],80,50,-200,,,,,1
215,1,#3低加水位,N3DCS.3LTHD126AI,,CDATA['N3DCS.3CCSLPH3SP'],100,50,-200,,,,,1
216,1,#2低加水位,N3DCS.3LTHD142AI,,CDATA['N3DCS.3CCSLPH2SP'],"Sfunline(CDATA['N3DCS.3ZTHD041AI'],[-1000,70,90,70,91,150,1500,150])",70,-200,,,,,1
217,1,#1低加水位,N3DCS.3LTHD153AI,,CDATA['N3DCS.3CCSLPH1SP'],100,50,-200,,,,,1
218,1,#4正常疏水调阀反馈,N3DCS.3ZTHD035AI,,CDATA['N3DCS.3LYHD035AO'],5,70,0,,,,,1
219,1,#3低加疏水阀开度,N3DCS.3ZTHD038AI,,CDATA['N3DCS.3LYHD038AO'],10,100,0,,,,,1
220,1,#2低加疏水阀开度,N3DCS.3ZTHD041AI,,CDATA['N3DCS.3LYHD041AO'],20,100,0,,,,,1
221,1,#1低加疏水阀开度,N3DCS.3ZTHD044AI,,CDATA['N3DCS.3LYHD044AO'],20,100,0,,,,,1
222,1,轴冷器出口压力,N3DCS.3PTWC210AI,,CDATA['N3DCS.3CCSCCWPSP'],50,490,380,,,运行参数,,1
223,1,轴冷水温度,N3DCS.3TEWC209AI,,CDATA['N3DCS.3CCSCCWTSP'],6,32,15,,,运行参数,℃,1
224,1,高位水箱水位,N3DCS.3LTWC219AI,,,,4680,1950,,,,,1
225,1//3,A轴冷水泵,N3DCS.3ZAWC01PADI,,,,1-CDATA['N3DCS.3ZAWC01PBDI'],1-CDATA['N3DCS.3ZAWC01PBDI'],,,,,1
226,1//3,B轴冷水泵,N3DCS.3ZAWC01PBDI,,,,1-CDATA['N3DCS.3ZAWC01PADI'],1-CDATA['N3DCS.3ZAWC01PADI'],,,,,1
227,1,轴冷水泵出口压力,N3DCS.3PTWC250AI,,,,620,"min(CDATA['N3DCS.3ZAWC01PADI']+CDATA['N3DCS.3ZAWC01PBDI'],2)*500",,,,,1
228,1,主机冷油器温度调节阀反馈,N3DCS.3ZTWC016AI,,CDATA['N3DCS.3TYWC016AO'],5,100,0,,,,,1
229,1,氢冷器温度调节阀反馈,N3DCS.3ZTWC064AI,,CDATA['N3DCS.3TYWC064AO'],5,95,0,,,,,1
230,1,A小机冷油器温度调节阀反馈,N3DCS.3ZTWC032AI,,CDATA['N3DCS.3TYWC032AO'],5,101,0,,,,,1
231,1,B小机冷油器温度调节阀反馈,N3DCS.3ZTWC036AI,,CDATA['N3DCS.3TYWC036AO'],5,101,0,,,,,1
232,1,电泵冷油器温度调节阀反馈,N3DCS.3ZTWC026AI,,CDATA['N3DCS.3TYWC026AO'],5,85,0,,,,,1
233,1,密封油冷却器温度调节阀反馈,N3DCS.3ZTWC070AI,,CDATA['N3DCS.3TYWC070AO'],5,102,0,,,,,1
234,1,励磁机冷却器温度调节阀反馈,N3DCS.3ZTWC094AI,,CDATA['N3DCS.3TYWC094AO'],5,102,0,,,,,1
235,1,EH油冷油器温度调节阀反馈,N3DCS.3ZTWC102AI,,CDATA['N3DCS.3TYWC102AO'],5,102,0,,,,,1
236,1,轴冷水温度调阀反馈,N3DCS.3ZTWC222AI,,CDATA['N3DCS.3TYWC222AO'],5,68,5,,,,,1
237,1,轴冷水压力调阀反馈,N3DCS.3ZTWC217AI,,CDATA['N3DCS.3TYWC217AO'],5,60,0,,,,,1
238,1//3,A循环水泵,N3DCS.3ZACW01PADI,,,,1,1-CDATA['N3DCS.3ZACW01PBDI'],CDATA['N3DCS.3BM04614'],,,,1
239,1,A循环水泵线圈温度1,N3DCS.3TECW603AI,,"np.median([CDATA['N3DCS.3TECW603AI'],CDATA['N3DCS.3TECW604AI'],CDATA['N3DCS.3TECW605AI']])",10+(1-CDATA['N3DCS.3ZACW01PADI'])*10,105,10+CDATA['N3DCS.3ZACW01PADI']*30,,,,,1
240,1,A循环水泵线圈温度2,N3DCS.3TECW604AI,,"np.median([CDATA['N3DCS.3TECW603AI'],CDATA['N3DCS.3TECW604AI'],CDATA['N3DCS.3TECW605AI']])",10+(1-CDATA['N3DCS.3ZACW01PADI'])*10,105,10+CDATA['N3DCS.3ZACW01PADI']*30,,,,,1
241,1,A循环水泵线圈温度3,N3DCS.3TECW605AI,,"np.median([CDATA['N3DCS.3TECW603AI'],CDATA['N3DCS.3TECW604AI'],CDATA['N3DCS.3TECW605AI']])",10+(1-CDATA['N3DCS.3ZACW01PADI'])*11,105,10+CDATA['N3DCS.3ZACW01PADI']*30,,,,,1
242,1//3,B循环水泵,N3DCS.3ZACW01PBDI,,,,1,1-CDATA['N3DCS.3ZACW01PADI'],CDATA['N3DCS.3BM04614'],,,,1
243,1,B循环水泵线圈温度1,N3DCS.3TECW608AI,,"np.median([CDATA['N3DCS.3TECW608AI'],CDATA['N3DCS.3TECW609AI'],CDATA['N3DCS.3TECW610AI']])",10+(1-CDATA['N3DCS.3ZACW01PBDI'])*10,110,10+CDATA['N3DCS.3ZACW01PBDI']*30,,,,,1
244,1,B循环水泵线圈温度2,N3DCS.3TECW609AI,,"np.median([CDATA['N3DCS.3TECW608AI'],CDATA['N3DCS.3TECW609AI'],CDATA['N3DCS.3TECW610AI']])",10+(1-CDATA['N3DCS.3ZACW01PBDI'])*10,110,10+CDATA['N3DCS.3ZACW01PBDI']*30,,,,,1
245,1,B循环水泵线圈温度3,N3DCS.3TECW610AI,,"np.median([CDATA['N3DCS.3TECW608AI'],CDATA['N3DCS.3TECW609AI'],CDATA['N3DCS.3TECW610AI']])",10+(1-CDATA['N3DCS.3ZACW01PBDI'])*10,110,10+CDATA['N3DCS.3ZACW01PBDI']*30,,,,,1
246,1,循环水流量,N3DCS.3CWFLOW,N3DCS_3CWFLOW,N3DCS_3CWFLOW1,3000,30000*(CDATA['N3DCS.3ZOCW001DI']+CDATA['N3DCS.3ZOCW002DI']),17000*(CDATA['N3DCS.3ZOCW001DI']+CDATA['N3DCS.3ZOCW002DI']),,,,,1
247,1,凝汽器端差,N3DCS.3TERMITDIF,TERMITDIF,,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[200,45,400,35,550,30,750,30,950,30,1160,30])",0,,,,,1
248,1,凝汽器A侧入口海水压力,N3DCS.3PTCW239AI,,PLIN[0]*1000,20+CDATA['N3DCS.3BM04614']*40,85+CDATA['N3DCS.3DCW0140']*10,50-CDATA['N3DCS.3DCW0140']*10,CDATA['N3DCS.3ZCCW003DI']==1 or CDATA['N3DCS.3ZCCW004DI']==1,,,,1
249,1,凝汽器B侧入口海水压力,N3DCS.3PTCW249AI,,PRIN[0]*1000,20+CDATA['N3DCS.3BM04614']*40,85+CDATA['N3DCS.3DCW0140']*10,50-CDATA['N3DCS.3DCW0140']*10,CDATA['N3DCS.3ZCCW003DI']==1 or CDATA['N3DCS.3ZCCW004DI']==1,,,,1
250,1,循环水母管压力,N3DCS.3PTCW233AI,,PABCWOUT[0]*1000,30,110+CDATA['N3DCS.3DCW0140']*15,"min(CDATA['N3DCS.3ZACW01PADI']+CDATA['N3DCS.3ZACW01PBDI'],1)",CDATA['N3DCS.3ZCCW003DI']==1 or CDATA['N3DCS.3ZCCW004DI']==1,,,,1
251,1,凝汽器B侧出口海水温度,N3DCS.3TECW253AI,,,,35,2,,,,,1
252,1,A循泵电流,N3DCS.3ITAP053AI,FILTER//10,(yc('N3DCS.3ITAP053AI')-10)*CDATA['N3DCS.3ZACW01PADI'],15,226,CDATA['N3DCS.3ZACW01PADI']*157.1-10,CDATA['N3DCS.3ZBCW01PADI'],400,运行参数,,1
253,1,B循泵电流,N3DCS.3ITAP054AI,FILTER//10,(yc('N3DCS.3ITAP054AI')+5)*CDATA['N3DCS.3ZACW01PBDI'],15,226,CDATA['N3DCS.3ZACW01PBDI']*162.5-10,CDATA['N3DCS.3ZBCW01PBDI'],400,运行参数,,1
254,1,A潮位,N3DCS.3LTCW205AI,,HZCWIN,10,10,-1,,,,,1
255,1,B潮位,N3DCS.3LTCW215AI,,HZCWIN,10,10,-1,,,,,1
256,1,A循环水泵出口门开,N3DCS.3ZOCW001DI,,,,CDATA['N3DCS.3ZACW01PADI'],CDATA['N3DCS.3ZACW01PADI'],,,,,1
257,1,A循环水泵出口门关,N3DCS.3ZCCW001DI,,,,1-CDATA['N3DCS.3ZOCW001DI'],1-CDATA['N3DCS.3ZOCW001DI'],,,,,1
258,1,B循环水泵出口门开,N3DCS.3ZOCW002DI,,,,CDATA['N3DCS.3ZOCW002DI'],CDATA['N3DCS.3ZOCW002DI'],,,,,1
259,1,B循环水泵出口门关,N3DCS.3ZCCW002DI,,,,1-CDATA['N3DCS.3ZOCW002DI'],1-CDATA['N3DCS.3ZOCW002DI'],,,,,1
260,1,黄海液位,N3DCS.3LTCW201AI,,,,1.7,0.4,,,,,1
261,1,主油箱油位,N3DCS.3LTTO01AI,FILTER1//60,175,5//1.5,195,155,,,标题,cm,1
262,1,主机润滑油压,N3DCS.3PTTO615AI,,,,110+CDATA['N3DCS.3ZATOBOPDI']*25+CDATA['N3DCS.3ZATOEOPDI']*40+CDATA['N3DCS.3ZATOSOBDI']*25,97,,,,,1
263,1,冷油器出口油温,N3DCS.3OCOT,,CDATA['N3DCS.3CCSTOILSP'],3//10,45,35,,,,,1
264,1,推力轴承回油温度（前）,N3DCS.3TETO601AI,,,,46,37-(1-CDATA['N3DCS.TV1SPO']/100)*17,,,,,1
265,1,推力轴承回油温度（后）,N3DCS.3TETO602AI,,,,57,47-(1-CDATA['N3DCS.TV1SPO']/100)*27,,,,,1
266,1,1瓦回油温度,N3DCS.3TETO603AI,,,,60,50-(1-CDATA['N3DCS.TV1SPO']/100)*30,,,,,1
267,1,2瓦回油温度,N3DCS.3TETO604AI,,,,60,50-(1-CDATA['N3DCS.TV1SPO']/100)*32,,,,,1
268,1,3瓦回油温度,N3DCS.3TETO605AI,,,,69,60-(1-CDATA['N3DCS.TV1SPO']/100)*40,,,,,1
269,1,4瓦回油温度,N3DCS.3TETO606AI,,,,69,60-(1-CDATA['N3DCS.TV1SPO']/100)*40,,,,,1
270,1,5瓦回油温度,N3DCS.3TETO607AI,,,,58,50-(1-CDATA['N3DCS.TV1SPO']/100)*28,,,,,1
271,1,6瓦回油温度,N3DCS.3TETO608AI,,,,58,50-(1-CDATA['N3DCS.TV1SPO']/100)*28,,,,,1
272,1,7瓦回油温度,N3DCS.3TETO609AI,,,,59,50-(1-CDATA['N3DCS.TV1SPO']/100)*30,,,,,1
273,1,八段抽汽逆止门后疏水阀,N3DCS.3ZOES006DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
274,1,八段抽汽逆止门前疏水阀,N3DCS.3ZOES004DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
275,1,七段抽汽逆止门后疏水阀,N3DCS.3ZOES010DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
276,1,六段抽汽电动门后疏水阀,N3DCS.3ZOES035DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
277,1,六段抽汽一次逆止门前疏水阀,N3DCS.3ZOES014DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
278,1,五段抽汽总逆止门前疏水阀,N3DCS.3ZOES030DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
279,1,五段抽汽总逆止门后疏水阀,N3DCS.3ZOES029DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
280,1,五段抽汽至除氧器逆止门后疏水阀门,N3DCS.3ZOES011DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
281,1,四段抽汽逆止门前疏水阀,N3DCS.3ZOES064DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
282,1,四段抽汽逆止门后疏水阀,N3DCS.3ZOES068DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
283,1,三段抽汽逆止门前疏水阀,N3DCS.3ZOES074DI,,,,"min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)","min(CDATA['N3DCS.3DFG0120']+CDATA['N3DCS.3LSES204DI'],1)",,,,,1
